,Hate_IDs,Counter_IDs,hate_users,creation_date
42,309883582313267200,313187131826782208,-,-
43,262010802582736896,262011774780465152,-,-
44,272860681441800192,272861924105003008,-,-
45,266474134438047744,266475792001794048,-,-
46,253591083131473920,253592645581033472,@mattyfistoreed,2012-10-03 20:23:20
47,247399993714044928,247400338238353408,@marcopoloboy_,2012-09-16 18:22:09
48,259238561952440320,261561011113439232,@ayam_god_,2012-10-19 10:24:24
49,222114736295256064,222114948766113792,@harrycooke,2012-07-08 23:47:34
50,259238561952440320,259513046563708928,@ayam_god_,2012-10-19 10:24:24
51,274186857980514304,274187239339204608,@munifahputri,2012-11-29 16:23:35
52,230443036482629632,230443860021620736,@King_Eke,2012-07-31 23:21:15
53,866850289894248448,867155681853538304,-,-
54,337316851791036416,337317298211790848,@Jack_Maude,2013-05-22 21:19:39
55,568146941139423232,568148926890704896,@cherrysluts,2015-02-18 20:36:01
56,337316851791036416,337319271518588928,@Jack_Maude,2013-05-22 21:19:39
57,819428592778178560,819698883479605248,-,-
58,318550277848449024,371734793060618240,@TeyonahTyger_,2013-04-01 02:27:59
59,475171984759083008,472871090055045120,@Juicycodeine,2014-06-07 07:06:44
60,507366967783989248,475172263864840192,@toniodhAbAddESt,2014-09-04 03:18:06
61,463520057172439040,464321191206195200,-,-
62,318550277848449024,371733890895208448,@TeyonahTyger_,2013-04-01 02:27:59
63,561680695446491136,318550607617196032,-,-
64,472866258531418112,420892709390262272,-,-
65,605652597563793408,605668309271379968,@_laxoch,2015-06-02 08:30:06
66,561680695446491136,318550403597873152,-,-
67,354848474916855808,354958344462671872,@plasticdabieber,2013-07-10 06:24:03
68,354323026059341824,354435639808245760,@plasticdabieber,2013-07-08 19:36:07
69,866850289894248448,867197463857307648,-,-
70,826859491148787712,826861180123807744,@hellodennisa_,2017-02-01 18:27:19
71,992396759782445056,992398237251203072,@SneakySn1per02,2018-05-04 13:33:20
72,561680695446491136,561685830062706688,-,-
73,561680695446491136,561686876248371200,-,-
74,825544165534683136,825554155821490176,-,-
75,354323026059341824,354436404920586240,@plasticdabieber,2013-07-08 19:36:07
76,993192249440681984,993504031879450624,-,-
77,811643670285971456,811672049609482240,@Atraxify,2016-12-21 18:45:05
78,554342575038279680,554345614725873664,@vitanation,2015-01-11 18:22:23
79,859116308562137088,859117487190929408,-,-
80,866850289894248448,867085902874587136,-,-
81,665322806092009472,665323514501558272,-,-
82,794674550160166912,794872208111861760,@Annaxsanmartin,2016-11-04 22:55:51
83,794674550160166912,794853700338647040,@Annaxsanmartin,2016-11-04 22:55:51
84,794674550160166912,794854511240167424,@Annaxsanmartin,2016-11-04 22:55:51
85,617900098375286784,617906199267287040,@RalphVanveen,2015-07-06 03:37:18
86,916057482065272832,916062403082588160,@N0R5K1,2017-10-05 21:48:17
87,759444938425765888,759445505432707072,@lusxt,2016-07-30 17:45:57
88,562249668944351232,562266108967665664,@Alan_Lehane,2015-02-02 14:02:21
89,693958207241359360,694657647983882240,-,-
90,562059998826872832,562061941628076032,@eucream,2015-02-02 01:28:40
91,866850289894248448,867289971589357568,-,-
92,230252856731660288,230359559913488384,-,-
93,230252856731660288,363427949061484544,-,-
94,230252856731660288,323522697311178752,-,-
95,230252856731660288,230633731411558400,-,-
96,230252856731660288,233902783277969408,-,-
97,230252856731660288,232528089089990656,-,-
98,230252856731660288,231966638365372416,-,-
99,230252856731660288,230366968199397376,-,-
100,230252856731660288,230359881872461824,-,-
101,230252856731660288,230358096554389504,-,-
102,866850289894248448,867418945636184064,-,-
103,230252856731660288,230296687468498944,-,-
104,230252856731660288,230290518498758656,-,-
105,230252856731660288,230290082979008512,-,-
106,230252856731660288,230270370450649088,-,-
107,230252856731660288,230259133809565696,-,-
108,230252856731660288,230253616320106496,-,-
109,230252856731660288,230253414527942656,-,-
110,230252856731660288,230253156150415360,-,-
111,562059998826872832,562062320008830976,@eucream,2015-02-02 01:28:40
112,866850289894248448,867312157146435584,-,-
113,276488874350493696,276722408403116032,@xaviebaby22,2012-12-06 00:50:59
114,282206134910210048,282228936732192768,@vickchhina,2012-12-21 19:29:20
115,282206134910210048,282228831664893952,@vickchhina,2012-12-21 19:29:20
116,856758078880010240,856800671579779072,@Piers_Murugan,2017-04-25 06:33:38
117,600775263325130752,600775546541318144,@_giantsbby,2015-05-19 21:29:19
118,866850289894248448,867210134816247808,-,-
119,840954079803240448,840955201729249280,@Justiic3,2017-03-12 15:54:11
120,866850289894248448,867127648056516608,-,-
121,819338539104108544,819348472650469376,-,-
122,902157533258948608,904473373522239488,@MikeMcLeen,2017-08-28 13:14:51
123,866850289894248448,867157782063190016,-,-
124,722428346752200704,722547289236090880,@cbennett4434,2016-04-19 14:15:14
125,814349698077179904,814350231932469248,-,-
126,819338539104108544,819592327584808960,-,-
127,819338539104108544,819348825152299008,-,-
128,819338539104108544,819338963827695616,-,-
129,819338539104108544,819338783422300160,-,-
130,819338539104108544,819338692238123008,-,-
131,463126553568608256,463127114271555584,@CPrice23_,2014-05-05 01:22:29
132,819338539104108544,819338678854176768,-,-
133,819338539104108544,819338610914820096,-,-
134,922989466263916544,922990706976788480,-,-
135,866850289894248448,867189872364326912,-,-
136,914028168406761472,914116761804509184,@chrishdz19,2017-09-30 07:24:31
137,489657532558761984,489658242826375168,-,-
138,472010334942035968,472011533606612992,@angeIdreams,2014-05-29 13:43:28
139,472010334942035968,472043613611102208,@angeIdreams,2014-05-29 13:43:28
140,472010334942035968,472011830400151552,@angeIdreams,2014-05-29 13:43:28
141,866850289894248448,867115171507978240,-,-
142,470787870631145472,470788626780262400,@AppleciderPapi,2014-05-26 04:45:49
143,473499004165451776,473499715762671616,@angeIdreams,2014-06-02 16:18:54
144,429091002809204736,429091162473787392,@trutherbottt,2014-01-31 03:17:21
145,621016472555515904,622277180236496896,-,-
146,621016472555515904,676945155149164544,-,-
147,428392014921478144,428398480793407488,@Daily_Beaner_,2014-01-29 04:59:50
148,506962170236510208,506975350669455360,@garshar42,2014-09-03 00:29:34
149,473499004165451776,473531072136118272,@angeIdreams,2014-06-02 16:18:54
150,418945335063744512,418945554702696448,@AnthonyBreneman,2014-01-03 03:22:06
151,473499004165451776,473499153700777984,@angeIdreams,2014-06-02 16:18:54
152,976274221818109952,978873424662712320,-,-
153,796170968058183680,796172938806460416,-,-
154,909129854666379264,909137322175844352,@xexogyun,2017-09-16 19:00:22
155,976274221818109952,978811147011969024,-,-
156,350508477514387456,350513466928414720,@Vimalexander,2013-06-28 06:58:27
157,976274221818109952,978842478492217344,-,-
158,799709401208733696,799709438726676480,-,-
159,305130376823709696,305130710631600128,@king_dmv,2013-02-23 01:42:05
160,305130376823709696,315797979879579648,@king_dmv,2013-02-23 01:42:05
161,365650053685182464,365680988417835008,@El_Autentico7,2013-08-09 01:45:40
162,866850289894248448,867220816848703488,-,-
163,305130376823709696,399672701008506880,@king_dmv,2013-02-23 01:42:05
164,305130376823709696,339486033831936000,@king_dmv,2013-02-23 01:42:05
165,305130376823709696,331823406360190976,@king_dmv,2013-02-23 01:42:05
166,305130376823709696,398613623532052480,@king_dmv,2013-02-23 01:42:05
167,305130376823709696,363523226833387520,@king_dmv,2013-02-23 01:42:05
168,305130376823709696,323471268697493504,@king_dmv,2013-02-23 01:42:05
169,305130376823709696,322194287926337536,@king_dmv,2013-02-23 01:42:05
170,369509434516455424,369510143504809984,@yasminfully,2013-08-19 17:21:29
171,367376567775023104,367387697348100096,-,-
172,339692614381096960,339720582373470208,@IAmIlluminati,2013-05-29 10:40:05
173,866850289894248448,867110359508766720,-,-
174,339692614381096960,339717259889086464,@IAmIlluminati,2013-05-29 10:40:05
175,305130376823709696,312918010748891136,@king_dmv,2013-02-23 01:42:05
176,330146559402602496,330148006047412224,@thatassholedray,2013-05-03 02:27:28
177,305130376823709696,309639848787058688,@king_dmv,2013-02-23 01:42:05
178,305130376823709696,347547528176218112,@king_dmv,2013-02-23 01:42:05
179,305130376823709696,345985412927483904,@king_dmv,2013-02-23 01:42:05
180,323505955889364992,323513060952244224,@I_Luve_1D,2013-04-14 18:40:04
181,305130376823709696,341626706672644096,@king_dmv,2013-02-23 01:42:05
182,350096728277532672,350104480118874112,-,-
183,866850289894248448,867364556020076544,-,-
184,387227142276542464,387235739932848128,@TheHaqMaster,2013-10-07 14:45:19
185,866850289894248448,867361533625458688,-,-
186,323938653560766464,323939592078237696,@selfpaidmade,2013-04-15 23:19:28
187,976274221818109952,978863470828572672,-,-
188,978024729855647744,978026576179802112,-,-
189,572593004046913536,572593128005230592,-,-
190,866850289894248448,867092131269279744,-,-
191,959685036311064576,965998919942594560,@gregorysaIcido,2018-02-03 07:08:37
192,959685036311064576,976558261498515456,@gregorysaIcido,2018-02-03 07:08:37
193,959685036311064576,976424935143882752,@gregorysaIcido,2018-02-03 07:08:37
194,833090023247409152,833092529495105536,-,-
195,959685036311064576,982999295875059712,@gregorysaIcido,2018-02-03 07:08:37
196,959685036311064576,977968657002369024,@gregorysaIcido,2018-02-03 07:08:37
197,866850289894248448,867364994949754880,-,-
198,356239081786703872,356240005846409216,-,-
199,356239081786703872,356239224674066432,-,-
200,959685036311064576,977521122613891072,@gregorysaIcido,2018-02-03 07:08:37
201,866850289894248448,867104745290293248,-,-
202,866850289894248448,867397489963479040,-,-
203,959685036311064576,976459668422787072,@gregorysaIcido,2018-02-03 07:08:37
204,959685036311064576,976445579629703168,@gregorysaIcido,2018-02-03 07:08:37
205,959685036311064576,976428250258960384,@gregorysaIcido,2018-02-03 07:08:37
206,959685036311064576,965415853767393280,@gregorysaIcido,2018-02-03 07:08:37
207,959685036311064576,964185440923217920,@gregorysaIcido,2018-02-03 07:08:37
208,959685036311064576,963821123262496768,@gregorysaIcido,2018-02-03 07:08:37
209,959685036311064576,963820949043781632,@gregorysaIcido,2018-02-03 07:08:37
210,959685036311064576,960667772542963712,@gregorysaIcido,2018-02-03 07:08:37
211,471119570217213952,471120319261196288,@GageCaulkins,2014-05-27 02:43:53
212,866850289894248448,867191036237549568,-,-
213,959685036311064576,976480312283734016,@gregorysaIcido,2018-02-03 07:08:37
214,959685036311064576,976887425627811840,@gregorysaIcido,2018-02-03 07:08:37
215,959685036311064576,976789089419759616,@gregorysaIcido,2018-02-03 07:08:37
216,714993110225395712,715011776816001024,@Okatsu_,2016-03-30 01:50:16
217,959685036311064576,976605899006636032,@gregorysaIcido,2018-02-03 07:08:37
218,959685036311064576,976468308814790656,@gregorysaIcido,2018-02-03 07:08:37
219,959685036311064576,976447035678261248,@gregorysaIcido,2018-02-03 07:08:37
220,959685036311064576,965896652455272448,@gregorysaIcido,2018-02-03 07:08:37
221,959685036311064576,963826474208890880,@gregorysaIcido,2018-02-03 07:08:37
222,866850289894248448,867328229320929280,-,-
223,638059240486076416,638059414277201920,@Tweettoes18,2015-08-30 18:42:32
224,632083978611257344,632112557717913600,@Mako__TG,2015-08-14 06:58:58
225,593439452267155456,593439732497051648,-,-
226,959685036311064576,960558854537916416,@gregorysaIcido,2018-02-03 07:08:37
227,959685036311064576,959978027122741248,@gregorysaIcido,2018-02-03 07:08:37
228,866850289894248448,867381795242856448,-,-
229,959685036311064576,962562541158260736,@gregorysaIcido,2018-02-03 07:08:37
230,976274221818109952,977614869938786304,-,-
231,866850289894248448,867487640425201664,-,-
232,618650703687389184,618651235143577600,-,-
233,618650703687389184,618675089031049216,-,-
234,732756557138661376,732759962053578752,@roobertdoobert,2016-05-18 02:15:51
235,732756557138661376,732768844763168768,@roobertdoobert,2016-05-18 02:15:51
236,732756557138661376,732762790893522944,@roobertdoobert,2016-05-18 02:15:51
237,259238561952440320,259848239333900288,@ayam_god_,2012-10-19 10:24:24
238,976274221818109952,977894676077404160,-,-
239,545916037053435904,545916321964515328,-,-
240,501167070487535616,501183659484151808,-,-
241,444227037935321088,444232575507120128,@DevTheMusicMan,2014-03-13 21:42:33
242,502685859767128064,502686011365670912,-,-
243,450907319929274368,450907396550828032,@BiggerDermm,2014-04-01 08:07:37
244,481208444075003904,481208530880323584,-,-
245,866850289894248448,867531111102111744,-,-
246,548556187533602816,548556932785917952,@Llan_Don,2014-12-26 19:09:21
247,525400661815742464,525457370475134976,@RyanMahaney3,2014-10-23 21:37:33
248,892957502802993152,892960288751923200,@killyourselfkay,2017-08-03 03:57:13
249,871739288630820864,871740861092028416,-,-
250,468508344240840704,468508587640504320,@DanPhillips69,2014-05-19 21:47:48
251,976274221818109952,976546985321947136,-,-
252,903758136359649280,903760875219292160,@RESlGN,2017-09-01 23:15:05
253,866850289894248448,867133510309601280,-,-
254,451995694971105280,451995833945165824,@cm5_28,2014-04-04 08:12:26
255,866850289894248448,867415542889664512,-,-
256,952259276357038080,952309262826528768,@FlashReport,2018-01-13 19:21:18
257,533015418274066432,533015807799078912,@jrharvey85,2014-11-13 21:55:53
258,745844178383405056,745844760854814720,@jake_gerrard,2016-06-23 05:01:23
259,903758136359649280,903760336708263936,@RESlGN,2017-09-01 23:15:05
260,663068844957790208,663075954768683008,-,-
261,866850289894248448,867134531526156288,-,-
262,402632272102182912,402632495167840256,-,-
263,552455158219943936,552455303485476864,@j_zimms,2015-01-06 13:22:28
264,995980431970455552,995992201657307136,@ihirarafique,2018-05-14 10:53:34
265,782803010649022464,782803189368229888,-,-
266,771149596903047168,771149628674826240,-,-
267,388688674822840320,388690143751966720,-,-
268,346009691798765568,346010162282254336,@JustJulie_G,2013-06-15 21:01:53
269,486704676297900032,486707033203154944,@DerekT75,2014-07-09 02:53:32
270,866850289894248448,867512759910400000,-,-
271,754457678466936832,754467870701150208,@leewelshman,2016-07-16 23:28:22
272,579798718171504640,579834386381590528,@Ga1anos,2015-03-23 00:16:01
273,656969702057594880,656972405693280256,@dominickcatoni,2015-10-21 23:05:57
274,613995619661795328,613995821848096768,-,-
275,569574482605707264,569575725730172928,-,-
276,615006242902278144,615006600508624896,@_zachdayton_,2015-06-28 03:58:09
277,628082625899397120,628083458208763904,-,-
278,628082625899397120,628083794990333952,-,-
279,670291038217641984,670291180320616448,-,-
280,627496072286502912,627496150975815680,@LoveeMySECRETS_,2015-08-01 15:08:16
281,866850289894248448,867151127728533504,-,-
282,571304662441308160,571305211563798528,@MoneyyKartel,2015-02-27 13:43:40
283,569574482605707264,569574574741950464,-,-
284,613995619661795328,613995701282848768,-,-
285,560478097334468608,560483349475520512,-,-
286,583086373135097856,583088301696921600,@_Keraa,2015-04-01 01:59:59
287,579798718171504640,579804149614653440,@Ga1anos,2015-03-23 00:16:01
288,578024930962509824,578025515644297216,-,-
289,615006242902278144,615008931564388352,@_zachdayton_,2015-06-28 03:58:09
290,866850289894248448,867148798627266560,-,-
291,866850289894248448,867202205706850304,-,-
292,643968006234746880,643973012992167936,@RazzJoey,2015-09-16 02:01:51
293,674261808761446400,674290368033120256,@Ayyye_Jazzy,2015-12-08 16:18:37
294,411218638344314880,411218841956794368,@_alyeezy,2013-12-12 19:38:58
295,342412102465646592,342412417973747712,-,-
296,316729760791277568,348277919690407936,-,-
297,316729760791277568,346173615147999232,-,-
298,316729760791277568,316995925455286272,-,-
299,316729760791277568,331965401892282368,-,-
300,866850289894248448,867085669902016512,-,-
301,316729760791277568,327607255421820928,-,-
302,316729760791277568,345541671703945216,-,-
303,343370254099042304,343370424584896512,@JordanALopez_,2013-06-08 14:13:42
304,340136927091105792,340137239138947072,@_maha48,2013-05-30 16:05:37
305,342889333142978560,343030711470669824,@TylerTurbyfill,2013-06-07 06:22:42
306,383375559285547008,383375670752976896,@_daivinci,2013-09-26 23:40:30
307,380885483175153664,381740290114977792,-,-
308,410460836558561280,410461018998190080,@ObeyJanellee_,2013-12-10 17:27:44
309,350284670186962944,350284983526621184,@SLIKKRIC,2013-06-27 16:09:08
310,555376725509804032,555382419348393984,@aleslut,2015-01-14 14:51:44
311,362586212411785216,362590090788208640,@magical_karin,2013-07-31 14:51:04
312,349778093088587776,349795197636448256,@IsmailShIbrahim,2013-06-26 06:36:10
313,398673063513817088,398676906217730048,@dunksquad23,2013-11-08 04:47:19
314,402158764272680960,402158878043160576,@_Troublee__,2013-11-17 19:38:15
315,395139768667099136,395146734240014336,@PIP_AntChelle,2013-10-29 10:47:16
316,356955215330672640,356959692909584384,@crasykayla,2013-07-16 01:55:29
317,387630436689514496,387630983996272640,-,-
318,399757654610173952,399758727458213888,@Kalique_340,2013-11-11 04:37:06
319,399757654610173952,399758427062140928,@Kalique_340,2013-11-11 04:37:06
320,354081627460218880,354081754086256640,-,-
321,356955215330672640,356958019805908992,@crasykayla,2013-07-16 01:55:29
322,316729760791277568,316733115089436672,-,-
323,316729760791277568,317358526869667840,-,-
324,325812307642945536,325812510072647680,@lovelala__,2013-04-21 03:24:42
325,398673063513817088,398673404292653056,@dunksquad23,2013-11-08 04:47:19
326,383333653918793728,383333923625127936,@vivrepourlamode,2013-09-26 20:53:59
327,316729760791277568,318119836611932160,-,-
328,381993214284427264,381993547278200832,@CarlaPreece00,2013-09-23 04:07:34
329,853946411330699264,853952476822851584,-,-
330,316729760791277568,318277408438497280,-,-
331,316729760791277568,318294444921200640,-,-
332,379651846836858880,379652128052375552,@Augie00,2013-09-16 17:03:48
333,407217020691030016,407217878417801216,@pxrfectbiebxr,2013-12-01 18:37:58
334,316729760791277568,321782185852039168,-,-
335,316729760791277568,321874957338558464,-,-
336,343586759562645504,343586867582758912,@marioservin10,2013-06-09 04:34:01
337,350798917107073024,350799458449104896,-,-
338,316729760791277568,322832476919701504,-,-
339,316729760791277568,329284238048366592,-,-
340,350798917107073024,350799080416481280,-,-
341,316729760791277568,330574652177010688,-,-
342,316729760791277568,335714146039496704,-,-
343,316729760791277568,336269614378008576,-,-
344,316729760791277568,342278897154535424,-,-
345,316281182830600192,316282169234444288,-,-
346,316729760791277568,350304173872525312,-,-
347,316729760791277568,352016923602587648,-,-
348,316729760791277568,355672741766107136,-,-
349,316729760791277568,356366797114576896,-,-
350,316729760791277568,400297328117960704,-,-
351,402226979895660544,402230025921241088,@Norm_146,2013-11-18 00:09:19
352,316729760791277568,316730689418563584,-,-
353,316729760791277568,317395078031241216,-,-
354,511333925051203584,511334651039076352,@ShaqBigga,2014-09-15 02:01:22
355,442054856225095680,442055541989572608,@NicoleDjahan,2014-03-07 21:51:05
356,442054856225095680,442054975947296768,@NicoleDjahan,2014-03-07 21:51:05
357,479870315539869696,479873111458729984,@SolomonEmbaye,2014-06-20 06:16:13
358,533832888689897472,533837998685974528,@Meishamontana,2014-11-16 04:04:13
359,501218876114599936,501218957609943040,@Jswords_,2014-08-18 04:07:46
360,510640084497203200,510653425198321664,@AsianMarc,2014-09-13 04:04:18
361,512749978154835968,512754595987062784,-,-
362,549959159492255744,546744225816391680,@_ccheyenne,2014-12-30 16:04:16
363,488033100455485440,488033426017370112,-,-
364,458709224067833856,458709502875795456,@cak198,2014-04-22 20:49:36
365,961009874577608704,961010152341164032,-,-
366,509425797153964032,509426003538903040,-,-
367,542718267119636480,542718733480116224,@breezybiber,2014-12-10 16:31:32
368,462723702166392832,462723777055715328,@sophietraynorxx,2014-05-03 22:41:42
369,529579523755360256,529583308468785152,-,-
370,443191134936776704,443191233822085120,-,-
371,487067600354959360,487111023779127296,-,-
372,458778794061742080,458778953294315520,@Ajsus1,2014-04-23 01:26:02
373,438924068386275328,438924555428823040,@BiGG_KunTry,2014-02-27 06:30:27
374,487067600354959360,487067753212157952,-,-
375,534163609459245056,534163871838527488,@safirestyles,2014-11-17 01:58:23
376,927398085013237760,927454090828877824,-,-
377,547691270785626112,547691435885989888,-,-
378,513918190515019776,513922168904638464,-,-
379,486617540744196096,486618290606080000,@HeOffset,2014-07-08 21:07:17
380,486617540744196096,486619218843279360,@HeOffset,2014-07-08 21:07:17
381,462423973259915264,462424180244619264,@black_taco_,2014-05-03 02:50:41
382,540695616360550400,540696098307047424,@_Klassy,2014-12-05 02:34:15
383,481886293757276160,481888551609835520,@_kingvonta,2014-06-25 19:47:00
384,549959159492255744,546742816735756288,@_ccheyenne,2014-12-30 16:04:16
385,431611572809895936,431611936288284672,@Daniel_Aldana1,2014-02-07 02:13:12
386,984434320596226048,984435807133011968,-,-
387,982748618649210880,983581302782865408,-,-
388,481886293757276160,481886376225275904,@_kingvonta,2014-06-25 19:47:00
389,499358184406917120,499362061420621824,@iinsydious,2014-08-13 00:54:03
390,539504234086268928,539504448054521856,-,-
391,443191134936776704,443191798622453760,-,-
392,500103118378778624,500104025329917952,-,-
393,501218876114599936,501225266455523328,@Jswords_,2014-08-18 04:07:46
394,441302814154051584,441303198482325504,@chocolateandie,2014-03-05 20:02:44
395,527309717220360192,527310913045807104,-,-
396,487258453782847488,487258808688070656,@maakiromero,2014-07-10 15:34:02
397,976274221818109952,979469185523871744,-,-
398,547691270785626112,547693181559508992,-,-
399,438487802271903744,438488364745240576,@marioxbot,2014-02-26 01:36:53
400,839125972834209792,839127216642469888,@TheHazelHayes,2017-03-07 14:49:56
401,839125972834209792,839160095867011072,@TheHazelHayes,2017-03-07 14:49:56
402,822088222004146176,822098747798724608,@huzaifarafiq,2017-01-19 14:28:00
403,950244222824837120,950297920598953984,-,-
404,950244222824837120,950247942652342272,-,-
405,950244222824837120,950284834500435968,-,-
406,950244222824837120,950289272069869568,-,-
407,950244222824837120,950275669463887872,-,-
408,950244222824837120,950301827601518592,-,-
409,950244222824837120,950249639969742848,-,-
410,950244222824837120,950594510706405376,-,-
411,929001654602600448,929041957833322496,-,-
412,929001654602600448,929124976287932416,-,-
413,826438355818778624,826445022551760896,@ideabeautyshop,2017-01-31 14:33:53
414,826438355818778624,827050226183712768,@ideabeautyshop,2017-01-31 14:33:53
415,826438355818778624,826829997805543424,@ideabeautyshop,2017-01-31 14:33:53
416,442338261206568960,442338535631486976,@marnie,2014-03-08 16:37:14
417,442338261206568960,442343819213033472,@marnie,2014-03-08 16:37:14
418,442338261206568960,442405571879505920,@marnie,2014-03-08 16:37:14
419,442338261206568960,442399538075414528,@marnie,2014-03-08 16:37:14
420,442338261206568960,442372462895169536,@marnie,2014-03-08 16:37:14
421,853946411330699264,853947063868022784,-,-
422,442338261206568960,442349855625998336,@marnie,2014-03-08 16:37:14
423,442338261206568960,442343671049244672,@marnie,2014-03-08 16:37:14
424,960318815069458432,960318999765463040,@danii,2018-02-05 01:07:02
425,960318815069458432,960324175566012416,@danii,2018-02-05 01:07:02
426,571384845642964992,571417559653752832,@righteousaxe,2015-02-27 19:02:17
427,960318815069458432,960389933985759232,@danii,2018-02-05 01:07:02
428,960318815069458432,960340400182460416,@danii,2018-02-05 01:07:02
429,960318815069458432,960338856301051904,@danii,2018-02-05 01:07:02
430,1020557628437655552,1020559079058493440,-,-
431,829387179550003200,829449264250056704,@asma_almane,2017-02-08 17:51:27
432,1020557628437655552,1020557989932163072,-,-
433,866850289894248448,867110548139323392,-,-
434,1015382335599104000,1015517817683300352,@ThabileMpe,2018-07-06 23:49:48
435,1015382335599104000,1015461033794854912,@ThabileMpe,2018-07-06 23:49:48
436,987169186798555136,987169829114302464,-,-
437,1015382335599104000,1015681815129018368,@ThabileMpe,2018-07-06 23:49:48
438,959399799723196416,959522949765111808,@HeartEyes4Brady,2018-02-02 12:15:11
439,959399799723196416,959400366260604928,@HeartEyes4Brady,2018-02-02 12:15:11
440,959399799723196416,959566011694448640,@HeartEyes4Brady,2018-02-02 12:15:11
441,388332711372271616,388333878311522304,@L1LDebbie,2013-10-10 15:58:27
442,388332711372271616,388332930893754368,@L1LDebbie,2013-10-10 15:58:27
443,388332711372271616,388332848093986816,@L1LDebbie,2013-10-10 15:58:27
444,795794039635378176,800406997569048576,@sabrinapls,2016-11-08 01:04:18
445,829387179550003200,829448995176984576,@asma_almane,2017-02-08 17:51:27
446,795794039635378176,796114295796994048,@sabrinapls,2016-11-08 01:04:18
447,795794039635378176,795952453975949312,@sabrinapls,2016-11-08 01:04:18
448,795794039635378176,816711554309693440,@sabrinapls,2016-11-08 01:04:18
449,795794039635378176,796043133142188032,@sabrinapls,2016-11-08 01:04:18
450,553773863608143872,553802388130500608,-,-
451,795794039635378176,795843231468507136,@sabrinapls,2016-11-08 01:04:18
452,795794039635378176,795838746407141376,@sabrinapls,2016-11-08 01:04:18
453,795794039635378176,795821697630896128,@sabrinapls,2016-11-08 01:04:18
454,531212909414596608,531347400695480320,@danadearmond,2014-11-08 22:33:21
455,829387179550003200,829448587029254144,@asma_almane,2017-02-08 17:51:27
456,531212909414596608,531213126444654592,@danadearmond,2014-11-08 22:33:21
457,363727933711859712,363728519236288512,@xsheehanx,2013-08-03 18:27:51
458,363727933711859712,363737586696601600,@xsheehanx,2013-08-03 18:27:51
459,363727933711859712,363732027394101248,@xsheehanx,2013-08-03 18:27:51
460,363727933711859712,363729784544575488,@xsheehanx,2013-08-03 18:27:51
461,553773863608143872,553786708270264320,-,-
462,990949003163525120,990982922369978368,-,-
463,990949003163525120,991117107894083584,-,-
464,990949003163525120,991606772602417152,-,-
465,990949003163525120,991383126487240704,-,-
466,932169560010113024,932172240568967168,@ginjapaige,2017-11-19 08:51:56
467,932169560010113024,932271925254082560,@ginjapaige,2017-11-19 08:51:56
468,393732922534268928,393733271881674752,@anyaigo,2013-10-25 13:36:58
